season,celebrity_name,rule,predicted_placement,placement
20,Charlotte McKinney,rank,11,11
20,Michael Sam,rank,10,10
20,Suzanne Somers,rank,9,9
20,Patti LaBelle,rank,8,8
20,Willow Shields,rank,7,7
20,Chris Soules,rank,6,5
20,Robert Herjavec,rank,5,6
20,Nastia Liukin,rank,4,4
20,Rumer Willis,rank,1,1
20,Noah Galloway,rank,1,3
20,Riker Lynch,rank,1,2
20,Redfoo,percent,12,12
20,Charlotte McKinney,percent,11,11
20,Michael Sam,percent,10,10
20,Suzanne Somers,percent,9,9
20,Patti LaBelle,percent,8,8
20,Willow Shields,percent,7,7
20,Robert Herjavec,percent,6,6
20,Chris Soules,percent,5,5
20,Nastia Liukin,percent,4,4
20,Rumer Willis,percent,1,1
20,Noah Galloway,percent,1,3
20,Riker Lynch,percent,1,2
21,Gary Busey,fair,13,10
21,Paula Deen,fair,12,9
21,Hayes Grier,fair,11,8
21,Andy Grammer,fair,10,7
21,Tamar Braxton,fair,9,5
21,Alexa PenaVega,fair,8,6
21,Carlos PenaVega,fair,1,4
21,Victor Espinoza,fair,1,12
21,Kim Zolciak-Biermann,fair,1,11
21,Chaka Khan,fair,1,13
21,Bindi Irwin,fair,1,1
21,Nick Carter,fair,1,2
21,Alek Skarlatos,fair,1,3
21,Gary Busey,rank,13,10
21,Paula Deen,rank,12,9
21,Hayes Grier,rank,11,8
21,Andy Grammer,rank,10,7
21,Alexa PenaVega,rank,9,6
21,Tamar Braxton,rank,8,5
21,Carlos PenaVega,rank,1,4
21,Victor Espinoza,rank,1,12
21,Kim Zolciak-Biermann,rank,1,11
21,Chaka Khan,rank,1,13
21,Bindi Irwin,rank,1,1
21,Nick Carter,rank,1,2
21,Alek Skarlatos,rank,1,3
21,Gary Busey,percent,13,10
21,Paula Deen,percent,12,9
21,Hayes Grier,percent,11,8
21,Andy Grammer,percent,10,7
21,Tamar Braxton,percent,9,5
21,Alexa PenaVega,percent,8,6
21,Carlos PenaVega,percent,1,4
21,Victor Espinoza,percent,1,12
21,Kim Zolciak-Biermann,percent,1,11
21,Chaka Khan,percent,1,13
21,Bindi Irwin,percent,1,1
21,Nick Carter,percent,1,2
21,Alek Skarlatos,percent,1,3
22,Geraldo Rivera,fair,12,12
22,Mischa Barton,fair,11,11
22,Marla Maples,fair,10,10
22,Doug Flutie,fair,9,9
22,Kim Fields,fair,8,8
22,Von Miller,fair,7,7
22,Jodie Sweetin,fair,6,6
22,Antonio Brown,fair,5,5
22,Wanya Morris,fair,4,4
22,Nyle DiMarco,fair,1,1
22,Ginger Zee,fair,1,3
22,Paige VanZant,fair,1,2
22,Geraldo Rivera,rank,12,12
22,Mischa Barton,rank,11,11
22,Marla Maples,rank,10,10
22,Doug Flutie,rank,9,9
22,Kim Fields,rank,8,8
22,Von Miller,rank,7,7
22,Jodie Sweetin,rank,6,6
22,Paige VanZant,rank,5,2
22,Antonio Brown,rank,4,5
22,Nyle DiMarco,rank,1,1
22,Wanya Morris,rank,1,4
22,Ginger Zee,rank,1,3
22,Geraldo Rivera,percent,12,12
22,Mischa Barton,percent,11,11
22,Marla Maples,percent,10,10
22,Doug Flutie,percent,9,9
22,Kim Fields,percent,8,8
22,Von Miller,percent,7,7
22,Jodie Sweetin,percent,6,6
22,Antonio Brown,percent,5,5
